Time,X,Y,Z,Heart Rate,Labels
15,6.1294404,6.7671049,12.0081636,51.25,0
30,6.1112061,6.9299468,11.962906,52.66666667,0
45,6.0984498,6.9087063,11.9256594,52.33333333,0
60,6.1014405,6.9117277,11.9350127,49.33333333,0
75,6.0931093,6.9156339,11.9331208,51,0
90,6.0880282,6.9367826,11.9270173,53.33333333,0
105,6.0673371,7.086975,11.9193725,54,0
120,6.0590668,7.0201264,11.8988494,53.66666667,0
135,6.0700684,7.0847167,11.8742219,56.66666667,0
150,6.0497896,7.0793456,11.8698578,64.33333333,0
165,6.0470123,7.0556335,11.8707886,51.5,0
180,6.0541992,7.007843,11.8928986,51.75,0
195,6.0548096,7.0038451,11.8954773,53,0
210,6.048828,7.0033723,11.8944702,55.66666667,0
225,6.0647124,7.0433197,11.9001313,58.5,0
240,6.0754854,7.0496824,11.9016571,58.75,0
255,6.0522766,7.0073396,11.9037783,59.33333333,0
270,6.0621796,7.0126649,11.9185027,59,0
285,6.0529327,6.9963838,11.9181214,55.66666667,0
300,6.0495606,6.9772189,11.9202269,52.33333333,0
315,6.0479277,7.0023194,11.926422,53,0
330,6.0322113,7.0095519,11.9682922,56.25,0
345,5.9980011,6.9745484,11.9481505,57,0
360,5.9922485,6.9601744,11.9532011,54,0
375,5.9966582,6.9730073,11.9723662,55.5,0
390,6.0480499,7.2904662,12.1131288,57.33333333,0
405,5.9982452,7.1092987,11.8919526,57.33333333,0
420,9.8349457,9.965393,11.3918306,54.66666667,0
435,5.7480775,12.7949829,13.2762147,54,0
450,0.8287507,8.7346954,12.4071199,58.33333333,0
465,0.5767975,7.6533202,12.8339083,59,0
480,0.5728759,7.6577762,12.8325042,56.25,0
495,0.5715027,7.6587983,12.823166,50.5,0
510,0.5641937,7.6666411,12.8198851,51.66666667,0
525,0.5588226,7.6774903,12.8213807,59.66666667,0
540,0.5603026,7.6775361,12.8144075,62,0
555,0.5635374,7.7052154,12.7995605,60.5,0
570,0.5580444,7.7101439,12.7986908,59.33333333,0
585,0.5571745,7.7136231,12.7927706,57,0
600,0.5563049,7.7338257,12.7846221,57,0
615,0.5572815,7.7225191,12.7860264,58,0
630,0.5597842,7.7308655,12.7861331,58,0
645,0.5552672,7.7334136,12.7830201,58.66666667,0
660,0.5568236,7.7318726,12.7830506,59,0
675,0.5578919,7.7388151,12.7739259,58,0
690,0.5559693,7.7446592,12.7773896,58,0
705,0.554947,7.7432097,12.7758638,57.66666667,0
720,0.5470888,7.7441862,12.7689512,57,0
735,0.5470885,7.7511441,12.7660219,57,0
750,0.5445709,7.7559661,12.7835846,57.33333333,0
765,0.5425415,7.754547,12.7840882,58,0
780,0.5449982,7.7589262,12.7855529,58,0
795,0.54451,7.756973,12.784134,59,0
810,0.548935,7.7588803,12.7928315,59,0
825,0.5454712,7.7565153,12.7879488,59,0
840,0.5445407,7.7643279,12.7856444,59,0
855,0.5485075,7.767349,12.7802583,59,0
870,0.5489805,7.7663266,12.7794342,59,0
885,0.5524597,7.7683257,12.7784425,58.33333333,0
900,0.5514984,7.7747494,12.7745209,58,0
915,0.5473939,7.8137208,12.7541047,58,0
930,0.5471803,7.8690033,12.7266695,57.5,0
945,0.5193939,7.8760528,12.7145233,57,0
960,0.5217287,7.8808898,12.7180023,57,0
975,0.545761,7.8664399,12.7368319,60,0
990,0.5457766,7.8625489,12.7324218,63.33333333,0
1005,0.5461884,7.8590852,12.7485808,66.33333333,0
1020,0.5404359,7.8808287,12.725113,69,0
1035,0.5401002,7.8824157,12.7158355,65.33333333,0
1050,0.5458983,7.8848114,12.7154391,60.33333333,0
1065,0.5414886,7.8867799,12.7163695,60,0
1080,0.542084,7.8784791,12.7163238,59.33333333,0
1095,0.5385743,7.8888092,12.710068,59,0
1110,0.5361482,7.8829039,12.714737,59,0
1125,0.5374756,7.8808136,12.7246399,59,0
1140,0.5307009,7.8789214,12.7143403,58.33333333,0
1155,0.531189,7.8755036,12.7135774,59,0
1170,0.527176,7.8892823,12.7098998,58.66666667,0
1185,0.5391846,7.8903046,12.7022248,58,0
1200,0.5421299,7.8982237,12.6995238,58,0
1215,0.5346833,7.9085388,12.7014159,58,0
1230,0.5234069,7.9575346,12.6670533,57.66666667,0
1245,0.5087127,7.9633789,12.661514,57,0
1260,0.5002135,7.9698333,12.6700285,57,0
1275,0.488449,7.9886781,12.6678314,56,0
1290,0.3641205,7.9284056,12.7018434,56,0
1305,0.3906405,7.9515534,12.7097169,55.25,0
1320,0.3022768,7.8626403,12.7809603,56,0
1335,0.3100586,7.6928405,12.9007873,56.33333333,0
1350,0.3351287,7.4579012,12.9870911,60.66666667,0
1365,0.302582,7.5151823,12.9437104,57.66666667,0
1380,0.3651274,7.5191193,12.9324339,55,0
1395,0.3750304,7.5176086,12.9337918,56.33333333,0
1410,0.3807676,7.5062563,12.9367522,56,0
1425,0.4044496,7.5175629,12.9301759,53.66666667,0
1440,0.4380952,7.4379883,13.068985,53,0
1455,0.6040036,6.7748873,13.3466949,53.33333333,0
1470,0.5391236,6.7469027,13.3633118,53.33333333,0
1485,0.5631562,6.8213652,13.3001709,53,1
1500,0.6186675,6.7911988,13.3269806,53,1
1515,0.5973969,6.783783,13.3284455,56.66666667,1
1530,0.6123354,6.8041534,13.3088072,56.33333333,1
1545,0.6365355,6.8231506,13.3197478,52.66666667,1
1560,0.6290587,6.8011933,13.2856903,53,1
1575,0.6242063,6.7996981,13.2902985,53,1
1590,0.626404,6.7834169,13.3160703,55.5,1
1605,0.6196136,6.7789764,13.301773,53,2
1620,0.6250151,6.7795565,13.3026732,51.66666667,2
1635,0.6215819,6.7828827,13.2970733,51.66666667,2
1650,0.626007,6.7903593,13.2967527,51.66666667,2
1665,0.6290739,6.795288,13.2981567,54,2
1680,0.6304933,6.7814485,13.2980193,57.66666667,2
1695,0.6324615,6.7888642,13.2932587,54.33333333,2
1710,0.6491549,6.7976684,13.3071441,54.66666667,2
1725,0.6536406,6.7947082,13.284424,55,2
1740,0.6585541,6.787323,13.3040162,52.33333333,2
1755,0.6546171,6.7770388,13.2965241,53,2
1770,0.6609496,6.7829132,13.3044282,54,2
1785,0.6633455,6.7838744,13.2966766,53.75,2
1800,0.6697237,6.776047,13.2952576,54,2
1815,0.6717377,6.7764742,13.3055268,56.66666667,2
1830,0.6703186,6.7774201,13.3029786,57.5,2
1845,0.6679077,6.7799531,13.2935029,56,2
1860,0.6693268,6.7804872,13.2924652,55,2
1875,0.6775972,6.7745211,13.297821,56,2
1890,0.6717529,6.7892761,13.2928924,59.66666667,2
1905,0.6713257,6.7868349,13.2973786,59,2
1920,0.6737975,6.7839203,13.2983857,56,2
1935,0.6714325,6.7888643,13.2925415,55.25,2
1950,0.6777345,6.790863,13.2951356,57.66666667,2
1965,0.6777804,6.7889099,13.2940675,57.66666667,2
1980,0.6763003,6.7961427,13.2936554,59.33333333,2
1995,0.6845248,6.7749634,13.2993775,60,2
2010,0.6834718,6.7508393,13.3055572,53.33333333,2
2025,0.6855166,6.7681123,13.3032684,53,2
2040,0.6855319,6.7705841,13.2998964,58,2
2055,0.6849823,6.773407,13.3072357,59.66666667,2
2070,0.6841127,6.7779085,13.3043061,60,2
2085,0.6831055,6.7740631,13.2916718,57.33333333,2
2100,0.6899719,6.7849427,13.295685,56,2
2115,0.6934661,6.7814178,13.2927856,56.5,2
2130,0.6500701,6.7675779,13.3191681,59,2
2145,0.6234435,6.7646336,13.3124085,59,2
2160,0.6313781,6.7685853,13.3034056,58.66666667,2
2175,0.6288604,6.7642061,13.3058471,58.66666667,2
2190,0.6337282,6.7558138,13.3066406,58.33333333,2
2205,0.6352844,6.7622226,13.3063048,55,2
2220,0.633316,6.7601778,13.3078004,59,2
2235,0.6371613,6.7651977,13.3078765,60,2
2250,0.6362762,6.7690277,13.3049927,59.66666667,2
2265,0.6382448,6.770096,13.3073119,59,2
2280,0.6393128,6.7725677,13.3045806,60,2
2295,0.6391451,6.7607423,13.3005675,58.33333333,2
2310,0.6446229,6.7616882,13.3104401,55.5,2
2325,0.6457064,6.7715303,13.311966,58,2
2340,0.6476287,6.7720489,13.3033447,58,2
2355,0.6427461,6.7710878,13.302597,58,2
2370,0.6436006,6.7710421,13.3085481,58,2
2385,0.6457367,6.7715608,13.296875,58.33333333,2
2400,0.6486512,6.7696229,13.300232,58.66666667,2
2415,0.649597,6.7661288,13.304474,59,2
2430,0.6534882,6.7680664,13.3087159,59,2
2445,0.6501313,6.7759398,13.3047485,59,2
2460,0.652481,6.762146,13.3027191,57.66666667,2
2475,0.6535035,6.7661132,13.3048249,58,2
2490,0.6549531,6.769104,13.304306,58.66666667,2
2505,0.6569521,6.7685853,13.3013457,58,2
2520,0.6603241,6.7720948,13.3034211,60,2
2535,0.6594392,6.7715148,13.3013764,59.33333333,2
2550,0.6609497,6.7788849,13.3048552,59,2
2565,0.6575013,6.7794496,13.2976684,61.33333333,3
2580,0.6565553,6.7745668,13.3020478,60.33333333,3
2595,0.6614227,6.7759857,13.3004914,60,2
2610,0.6654358,6.7763977,13.3111725,59,2
2625,0.6585541,6.7789764,13.2941741,59,3
2640,0.7094575,6.8405302,13.3260344,58,3
2655,0.7233734,6.8480376,13.2603148,58,3
2670,0.7243652,6.852417,13.257309,58,3
2685,0.7282258,6.8357237,13.2588195,59,3
2700,0.7248992,6.8489836,13.2612456,60.33333333,3
2715,0.7243804,6.8396148,13.2644653,60,3
2730,0.724869,6.8494414,13.2548828,59.33333333,3
2745,0.7293703,6.850952,13.2549285,59.33333333,3
2760,0.7294617,6.8539732,13.2515411,59,3
2775,0.7262878,6.8415526,13.2584074,59.5,3
2790,0.7460937,6.8672179,13.2522888,58,3
2805,0.7477266,6.859909,13.2425536,56.66666667,3
2820,0.7501372,6.8682556,13.2374422,56,3
2835,0.7541656,6.8707732,13.2389526,56,3
2850,0.7591248,6.881134,13.2354432,56.33333333,3
2865,0.7611085,6.8904269,13.2374113,59,3
2880,0.7591707,6.8924409,13.2373811,59.33333333,3
2895,0.7586059,6.8894807,13.235657,58.66666667,3
2910,0.7552034,6.8895114,13.2332765,58,3
2925,0.7519074,6.8919377,13.2285767,59,3
2940,0.7537995,6.8924409,13.2343598,59.33333333,3
2955,0.7572022,6.8880007,13.2309724,59.33333333,3
2970,0.7582092,6.8944399,13.2340851,59.66666667,3
2985,0.7587128,6.8934478,13.2282409,62,3
3000,0.7572021,6.8835602,13.2309114,59.33333333,3
3015,0.7576752,6.8924104,13.229065,56.5,3
3030,0.7557984,6.8958893,13.2368928,59.66666667,3
3045,0.7591553,6.8860779,13.2361602,60.33333333,3
3060,0.7616118,6.8855438,13.2314452,59,3
3075,0.7601013,6.897812,13.231186,61,3
3090,0.7620851,6.8954318,13.2323914,61,3
3105,0.761093,6.8895111,13.2308045,61,2
3120,0.7597503,6.8978577,13.2252349,60.66666667,2
3135,0.7616884,6.897324,13.2330324,60.33333333,2
3150,0.7595977,6.8869784,13.2322693,57.66666667,2
3165,0.7587433,6.8934937,13.22493,56.66666667,2
3180,0.7641143,6.8974304,13.2222443,57.66666667,2
3195,0.757263,6.8855745,13.2313843,58,3
3210,0.7587126,6.8919833,13.2349395,58,3
3225,0.7592315,6.8973541,13.2348327,58,3
3240,0.7611388,6.8957978,13.2301177,59,3
3255,0.7563628,6.8993226,13.2320252,59.33333333,2
3270,0.7636109,6.8978273,13.2320253,59.66666667,2
3285,0.7616272,6.8909456,13.2323762,58.33333333,0
3300,0.758728,6.8948673,13.2255554,57,0
3315,0.7659758,6.8874971,13.2342835,61,0
3330,0.7750854,5.6279145,14.0513153,57.5,0
3345,0.5153657,2.7883759,14.8080904,57,0
3360,0.521393,2.4039154,14.7266997,94.33333333,0
3375,0.9898835,2.8168029,14.7256317,93,0
3390,8.0169524,14.2431335,8.7053376,82,0
3405,0.8157195,7.3329774,13.2977295,83,0
3420,0.5130007,7.608612,12.9294892,91.5,0
3435,0.4604188,7.5550538,12.9051513,87,0
3450,0.4393312,7.574768,12.918457,71,0
3465,0.4281617,7.6025541,12.8764343,64,0
3480,0.4318238,7.6020354,12.8663482,53.33333333,0
3495,0.4308473,7.6050108,12.8624268,53,0
3510,0.4397585,7.6098785,12.8674469,56.5,0
3525,0.4572144,7.5970612,12.8859404,60.33333333,0
3540,0.4696503,7.6157532,12.8843841,59.5,0
3555,0.490448,7.569336,12.9057161,55.66666667,0
3570,0.5921324,7.2760926,13.0655364,55,0
3585,0.5428925,7.306259,13.0519715,56,0
3600,0.5613405,7.3298797,13.0261688,53,0
3615,0.5550232,7.3134614,13.0461579,51.66666667,0
3630,0.6310884,7.145004,13.159729,51.66666667,0
3645,0.631592,7.0341795,13.1638642,52,1
3660,0.6320039,7.0272367,13.1716461,52,1
3675,0.6310578,7.0252686,13.1697845,50,1
3690,0.6325685,7.0262449,13.1726226,54.25,1
3705,0.6399383,7.0272366,13.1681366,55.33333333,1
3720,0.6408843,7.0208433,13.1730803,54.33333333,1
3735,0.6349945,7.0222779,13.1731413,53,1
3750,0.6369629,7.0282134,13.169281,53.75,1
3765,0.6469422,7.0316314,13.1665344,59.5,1
3780,0.6433868,7.0183714,13.1707001,56.66666667,1
3795,0.6453094,7.0297088,13.1688843,54.33333333,1
3810,0.6459198,7.024246,13.1684874,54.33333333,1
3825,0.6483156,7.0292509,13.1611785,54,1
3840,0.6453398,7.0355377,13.1883088,53,1
3855,0.6014711,7.0227964,13.1919555,52,1
3870,0.5859835,6.9778901,13.1949005,52.33333333,1
3885,0.6826782,6.3923644,13.5661469,53.66666667,1
3900,0.701233,5.9680786,13.663849,53,1
3915,0.7032469,5.9779816,13.6618806,53.66666667,1
3930,0.7070922,5.9616854,13.6749879,54.66666667,1
3945,0.7052761,5.9739685,13.6677397,54,1
3960,0.7027894,5.9779206,13.6647798,54.66666667,1
3975,0.7100677,5.9779814,13.6677551,57.66666667,1
3990,0.7115477,5.9862672,13.6697996,58,1
4005,0.71788,5.972519,13.665985,59.5,1
4020,0.7159879,5.9695891,13.6623535,57,1
4035,0.7115171,5.9833223,13.6645201,54.66666667,1
4050,0.7165678,5.9794311,13.6634826,55.5,1
4065,0.7174681,5.972992,13.665985,55.5,1
4080,0.7096559,5.9755096,13.667343,55.5,1
4095,0.7077024,5.982361,13.6619414,54,1
4110,0.7145842,5.9739379,13.6621553,54,1
4125,0.7170561,5.9858856,13.6586459,55,1
4140,0.7107545,5.992279,13.6600648,55.5,1
4155,0.716568,5.9833529,13.6626127,56.66666667,1
4170,0.750885,5.9576875,13.7017822,57.33333333,1
4185,0.8410797,5.7953491,13.7288055,57,1
4200,0.8449246,5.8071896,13.7207641,55.66666667,1
4215,0.8421173,5.8121032,13.7192231,57.33333333,0
4230,0.8435364,5.8066708,13.7201538,58,0
4245,1.3608094,5.2480163,14.0745391,59,0
4260,1.1246187,4.0997162,14.9853821,66.5,0
4275,0.3855744,5.3811951,13.9350739,69,0
4290,0.3609619,5.3244935,13.943619,79.33333333,0
4305,0.3541262,5.3343356,13.9543305,59.5,0
4320,0.2557221,5.5060578,13.9072723,67.75,0
4335,0.2011873,5.5076448,13.8908082,68,0
4350,0.2000731,5.477066,13.8942719,57.33333333,0
4365,0.1837923,5.4938967,13.8898622,52.5,0
4380,0.1484374,5.5194853,13.8842318,52.5,0
4395,0.1355438,5.5042422,13.8893434,52.25,0
4410,0.1204222,5.4948579,13.885727,51.66666667,0
4425,0.1238249,5.5106508,13.9024506,51.5,0
4440,0.1098021,5.5200808,13.8838197,51,0
4455,0.1273346,5.5238954,13.8927,60.66666667,0
4470,0.1226958,5.494919,13.8886261,53,0
4485,0.1243894,5.5047302,13.8908236,53,0
4500,0.1194001,5.5027315,13.8890381,53.66666667,0
4515,0.1149901,5.5018312,13.8933715,54,0
4530,0.1111297,5.5048218,13.8864746,54,0
4545,0.1090695,5.5072175,13.8933564,51.66666667,0
4560,0.0735932,5.4686886,13.9139251,55,0
4575,0.0778198,5.4701384,13.9115449,56.33333333,0
4590,0.0813599,5.4806518,13.9009245,54.33333333,0
4605,0.0848543,5.4904634,13.8908235,52.66666667,0
4620,0.079071,5.4914706,13.8937683,54,0
4635,0.0789185,5.4840092,13.8985594,55.66666667,0
4650,0.0823364,5.4900056,13.8940126,55.33333333,0
4665,0.0859985,5.5195773,13.8914948,55.5,0
4680,0.085556,5.5274508,13.8848113,59,0
4695,0.0860292,5.5250246,13.8821564,53.33333333,0
4710,0.0795747,5.5264285,13.8852541,52.33333333,0
4725,0.0825655,5.520569,13.8726044,54,0
4740,0.082718,5.5363771,13.8741761,56.5,0
4755,0.0777434,5.5260013,13.8779299,55,0
4770,0.0802612,5.5407564,13.8726197,54.33333333,0
4785,0.0777894,5.5112002,13.8778381,55.33333333,0
4800,0.0766755,5.523514,13.8806915,54.33333333,0
4815,0.0718231,5.5255434,13.88031,54.66666667,1
4830,0.0692748,5.5106814,13.8891754,55.66666667,1
4845,0.0726624,5.5294801,13.8842622,56,1
4860,0.073822,5.5338746,13.8812715,56,1
4875,0.0743104,5.5373079,13.882248,58.66666667,2
4890,0.072281,5.5289459,13.8836671,57,2
4905,0.0735931,5.523514,13.8857119,57.66666667,1
4920,0.0732421,5.5357512,13.878952,57.33333333,1
4935,0.0722658,5.5181275,13.8899689,57,2
4950,0.0747073,5.5319215,13.8813782,57,2
4965,0.0762787,5.5417634,13.8750916,59.66666667,2
4980,0.0677949,5.5161592,13.8839112,58.5,2
4995,0.0703736,5.5293427,13.8797303,55,0
5010,0.0706939,5.5195619,13.8884737,56,0
5025,0.0664064,5.5205232,13.8930053,55.66666667,1
5040,3.0494081,9.8058015,14.5770567,56,1
5055,0.7807617,9.2129822,11.8017731,56,2
5070,0.7155152,9.2465667,11.7754517,50.66666667,2
5085,0.7015075,9.259384,11.7554321,50,2
5100,0.6944275,9.283966,11.7429812,50.66666667,2
5115,0.6831359,9.2829741,11.7447051,50,2
5130,0.656967,9.3586122,11.6959992,51.66666667,2
5145,0.6396941,9.3537292,11.6822204,50,2
5160,0.6411439,9.3645633,11.677292,50,2
5175,0.6397246,9.3605652,11.6827086,47,2
5190,0.6323241,9.3586885,11.6817323,48.75,2
5205,0.619873,9.3773805,11.6620941,52.66666667,2
5220,0.6143189,9.3822934,11.6574706,54,2
5235,0.6103822,9.3853454,11.6603546,55.75,2
5250,0.6049804,9.3793182,11.6609954,53.5,2
5265,0.6050414,9.3744356,11.6656648,51.33333333,2
5280,0.6035613,9.3769073,11.6615447,52,2
5295,0.6029968,9.3842771,11.659622,54.5,2
5310,0.6065216,9.3733824,11.662857,55.33333333,2
5325,0.5968933,9.364563,11.6830444,53,2
5340,0.6001738,9.3704836,11.6751709,51.33333333,2
5355,0.6021118,9.3783875,11.6669314,51.66666667,2
5370,0.602417,9.3802946,11.6582336,53.66666667,2
5385,0.6011049,9.3764191,11.6610716,53.66666667,2
5400,0.5981598,9.3838043,11.6592712,54.66666667,2
5415,0.6029814,9.3789214,11.6600341,54,2
5430,0.6045989,9.3818207,11.6663816,54.5,2
5445,0.6025696,9.3827973,11.6611024,55,2
5460,0.6044921,9.3946687,11.6577911,57.66666667,2
5475,0.6083984,9.389694,11.65625,58.33333333,2
5490,0.6079406,9.38826,11.6503755,56,2
5505,0.606903,9.3897553,11.6528932,57,2
5520,0.6084138,9.3932496,11.6503446,57.66666667,2
5535,0.6048736,9.3922579,11.648422,54,2
5550,0.605423,9.3867951,11.652817,57.25,2
5565,0.604004,9.3907777,11.6542815,58.66666667,2
5580,0.6053619,9.3936921,11.6499633,60,2
5595,0.6063536,9.3941803,11.6474914,58.66666667,2
5610,0.6044312,9.3912202,11.6505278,57,2
5625,0.6048889,9.3912353,11.6480559,56.5,0
5640,0.6052551,9.3976594,11.645645,59,0
5655,0.6077882,9.4134063,11.6471558,59,0
5670,0.7076109,9.5109405,11.5688324,64,0
5685,1.4927216,7.2173157,13.5706635,77.66666667,0
5700,1.2180634,7.6982574,12.7705687,89.33333333,0
5715,1.252243,7.7175139,12.7691649,84.33333333,0
5730,2.2691041,14.9432372,5.4988099,78,0
5745,1.8877715,14.4635316,3.9132079,80.5,0
5760,1.8784028,14.4369048,4.015381,56.33333333,0
5775,1.8801269,14.4202271,4.1018219,59,0
5790,2.1050873,14.5833893,4.9569855,64.33333333,0
5805,2.2999724,13.3600618,7.336258,63.5,0
5820,2.688034,8.2280276,14.0886841,76.25,0
5835,1.4957582,4.7644046,14.281845,85,1
5850,1.4632875,4.960922,14.1096193,87,1
5865,1.4245148,4.8962248,14.0606842,63.66666667,1
5880,1.4229128,4.929657,14.0521545,51.66666667,1
5895,1.4260254,5.019409,14.0351256,51.33333333,2
5910,1.4732207,5.1288756,14.0355072,56,2
